001,Nguyen Văn A,20/11/1999,123 456 8798,0123569846,vana@gmail.com,Trung Cấp,Lễ Tân,300.5,Da Nang
002,Nguyen Văn B,11/05/2000,235 798 523,0356985616,vanb2k@yahoo.com,Trung Cấp,Phục Vụ,310.5,Ho Chi Minh
003,Nguyen Văn C,05/01/1995,321 568 654,0259489560,vanc95@gmail.com,Đại Học,Giám Sát,1506.5,Hue
004,Nguyen Văn D,01/11/1997,364 568 489,0165869531,vand97@gmail.com,Cao Đẳng,Chuyên Viên,1005.7,Quang Nam
005,Nguyen Văn E,07/04/1991,568 213 889,0135689562,vane0704@gmail.com,Cao Đẳng,Quản lý,1107.5,Quang Tri
006,Nguyen Văn F,03/01/1990,568 965 886,0135895678,vanf@gmail.com,Sau Đại Học,Giám đốc,3055.5,Quang Nam
007,Nguyen Văn G,22/08/1985,567 589 458,0136589468,vang@gmail.com,Đại Học,Quản lý,2760.5,Da Nang
008,Nguyen Văn H,13/04/1989,468 568 589,0136598589,vanH@gmail.com,Cao Đẳng,Chuyên Viên,1706.5,Hue
009,Nguyen Văn I,21/09/1985,568 895 685,0588978957,vani@gmail.com,Trung Cấp,Phục vụ,500.56,Dak Lak
010,Nguyen Văn K,15/04/1994,569 789 456,0135698590,vanH@gmail.com,Cao Đẳng,Giám Sát,1560.5,Phu Yen
